idx,conversation,class
10,"언니 나 남친한테 시간을 갖자 했어
헐 왜 무슨 일이야 ㅠㅠ
남친이랑 데이트 하는데 약간 돈 아낀다는 생각이 들어서
헐 그거 너무 최악이야...
계산적인 거 같아?
응 약간 가성비를 많이 찾는 느낌?...
분위기 좋은 곳도 가고 싶은데
맞아 여자들은 그래 ㅠㅠ
너한테 아끼거나 그런 건 아니지?
솔직히 알바도 안하고 부모님 용돈 받으면서 지내는데 참...
워메... 그래서 더 예민한 걸 수도 있어 ㅠㅠ
그러게 남자는 좋아하는 여자한테 다 해주고 싶다던데 키키
키키 맞아 근데 요즘 세상이 바뀐 거 같아 ㅠㅠ
그러게 키키 그래서 스트레스야 연애 시러 시러~
안 하면 외롭고 하면 괴롭더라 ㅠㅠ
자기 딴에서 왜 그게 문제인지도 몰라
예쁜데 가고 싶은 건 여자들 심리인데 ㅠㅠ
잘 얘기해봐~!
아니야 난 이미 올해 초부터 꾸준히 말하고 몇 번 싸우고 그랬어 키키
사람 본성인가 봐~
맞아 ㅠㅠ 그냥 나한테 맞는 사람 찾아서 행복해지자 ㅠㅠ",일상 대화
11,"니는 타이쿤 게임 좋아하나? 키키
어렸을 때 타이쿤 게임 많이 했었어요 키키
키키 나도 타이쿤 게임 좀 좋아하는 편이다 키키
요즘도 타이쿤 게임 많이 있어요?
지금 폰에는 마이리트셰프라는 게임 깔려있어 키키
오 키키 여전히 많이 하구나 키키
재밌겠네요 키키
응 요즘도 타이쿤 게임 많지! 키키
키키 재밌어요?
어때요? 키키
전 요즘엔 타이쿤 게임 잘 안해봐가지고
어어 키키
근데 한동안 안하다가 다시 하니까 손이 굳어서 못하겠더라 ㅜㅜ
키키 타이쿤 게임도 좀 손이 빨라야 하죠 키키
뭔가 이런 종류의 게임은... 쉬지 않고 해야 레벨업이 빨라지는 것 같다 키키
맞아요 키키
뭔가 단기간에 계속 해야 되요 키키
한번 질려서 안하다가 다시 시작하면 예전만도 못하더라 키키
키키 재미있을때 끝까지 해야 되요 키키
그니까...
이러니 밤새 게임을 하고 그러지... 휴... 키키
우리 언제 한번 같이 밤을 새 보자 ... 키키
키키 밤샘 게임이 힘들긴 한데 끊을수 없죠
네 같이 새 보아요 키키",일상 대화
12,"니는 미용실 자주 다니는 편이가? 키키
아니 키키 미용실 정말 안 가 키키 가야 하는데 키키
키키 나도 키키 코로나 터진 후로는 한번도 안 간 듯 키키
키키 난 출산 전에 단발로 자르고 키키 지금 머리가 엉망이다 키키
재난 지원금 미용실에서 사용 가능해서 다들 머리 하러 갔다던데 키키
파마도 하고 싶고 염색도 하고 싶고 키키 미용실 너무 가고 싶네 키키
지금이 기회다!
한번 가서 세팅하고 오자! 하하
키키 재난지원금 쓰러 가야 하나요 키키 괜찮은데 키키
난 지금 머리가 많이 길어서 키키 얼마 전에 셀프로 잘라봤음 키키
에 집에서? 키키 멋있다 키키
이쁘게 잘랐어?
망하면 미용실 가지 싶어서 키키 근데 잘 잘랐다! 키키
오오 능력자인데 키키 난 망할까 봐 무서워서 시도 못 함 키키
유튜브에 막 레이어트 컷 셀프 미용 이런 거 나오길래 키키 너무 해보고 싶어서 키키
키키 난 예전에 머리 피는 약 사서 발랐다가 망해서 키키 시도 안 해 키키
근데 아무도 내가 머리 자른 지 모르더라... 하하
그 정도면 망하진 않은 거제?
키키 응응 다행이지 키키 정리한 거라고 하자",일상 대화
13,"좋아하는 동물 있어요? 강아지나 고양이?
음 나는 고양이보단 강아지 좋아해 하하
강아지 귀엽죠 ㅠㅠ
고양이도 이쁜 애들 많던데
맞아 ㅠㅠ 고양이는 뭔가 눈 마주치면 무서워서...
맞아요 눈빛이 쎄긴 해 키키
키키 애교 피우는 강아지가 사랑스럽긴 하더라구요 키키
인정 키키 너무 이뻐 ㅠㅠ
전 불독 키우고 싶어요
불독? 내 친구도 불독 키우는데 귀엽더라 진짜 키키
아 진짜요? ㅠㅠ 너무 귀엽죠 ㅠㅠ 꿈의 강아지
그래도 애들이 크면 감당하기 어려워서 키키 작은 강아지가 좋아 ㅠㅠ
키키 그건 그래요 키키
나중에 여건 되면 꼭 키울 겁니다!
응 좋아 키키 나중에 혼자 살면 생각해 봐야겠어 ㅎ
키키 지금은 부모님의 반발이 너무 쎄서 불가 키키
나도 엄마 피부가 안 좋아서 ㅠㅠ 절대 안돼 ㅠ
그럼 안되겠다 ㅠㅠ 독립하는 그날을 기약합시다!
웅 그날이 내가 강아지 키울 수 있는 날이야! 키키",일상 대화
14,"언니 야구 즐겨 봐요?
음... 키키 아니 보지는 않는데 너는 봐?
저는 야구보다는 농구 좋아해서 농구 직관 하러 많이 다녔어요 키키
나는 야구가 그리 재밌는지 모르겠더라고
창원 엘지 농구 키키
저도 야구는 노잼 키키
나도 농구 좋아해!
나 세이커스 팬이었어 키키
저두요! 키키
근데 요즘은 실력이 너무 떨어져서 안 보게 되더라구요 키키
헐 키키 나 막 제일 앞자리에서 보고 그랬는데 키키
전 무조건 응원석 가서 봤어요 키키
우리 경기장에서 농구 같이 본 거 아냐?
키키 그럴 수도 있겠네요 키키
저 한창 봤을 때가 김종규 김시래 선수 있을 때에요 키키
생각보다 세상이 좁다 키키
대구에서만 만나고 놀아서 생각도 못했네
키키 그러게요 키키
대구는 농구 구장이 없어서 아쉬웠어요
농구가 뭔가 빠르고 박진감이 넘쳐
키키 맞아요 키키
구기 종목 중 가장 활동량이 많아서 키키
서울에는 농구팀 많은데 또 안 가다 보니 안 가게 되더라고 ㅜㅜ
나중에 한번 같이 가자",일상 대화
15,"아 곧 있으면 엄마 생일인데 뭐 해드리지
그냥 사랑한다고 말해 노래 부르면서
키키 그건 좀 그런데
아닌가 그럼 머하고 싶은데 너는
나는 뭐 그냥 선물이나 드려야지
그것도 조치 선물이 머가 좋은데?
홍삼 그런 거 사드려야겠다
그래 우리 집에 홍삼 있는데 좋더라구
홍삼 어디꺼냐?
추천 좀
나 그냥 아무데나 먹어
왜 궁금한데 알려줘 키키
잘 몰라 엄마꺼 그냥 먹어
엄마꺼? 키키
정관장 이런 거 드시나
그럴 걸 잘 몰라
그래 그럼 나중에 사고 연락 줄게
그래 연락 줘
그리고 쫌 줘 키키 이건 좀 아닌가?
미안 키키",일상 대화
16,"여행 계획 세울 때 주로 어떻게 하는 편이에요?
큰 틀을 짜고 거기서 자유롭게 움직이는 편이에요!
아 키키 계획을 자세히 짜지는 않나 보네요?
원래는 그걸 더 좋아했었는데 하나 틀어지니까 짜증 나더라구요 키키 그래서 바꿨어요
아 그쵸... 키키 분명 재밌으려고 갔는데 짜증 남
그러니까요 여행 메이트 기준이 있으세요?
음... 일단 난 먹을 거에 관심이 없으니 먹고 싶은 걸 정확히 말해주는 사람? 키키
키키 일단 저는 아니네요 키키
저는 먹는 게 최우선이거든요
키키 그리고 뭔가 내 계획을 받아들여 주는 사람이 좋네요
오 키키 저는 누가 짜주는 계획 좋아해요 키키
키키 오! 키키 난 내가 계획 짜는 걸 좋아해서 키키 뭔가 딱이네요
그러네요 키키 저는 누가 계획을 짰으면 잘 따라다녀요 키키 편하거든요
키키 여행 갈 일은 없겠지만 싸울 일은 없겠네요
키키 제가 음식만 잘 정하면 싸울 일이 없겠네요 키키
키키 네네... 꼭 새로운 음식이나 맛집 들려야 하는 애들이 있더라구요
키키 새로운 음식은 좋은데 맛집은 굳이... 아니라도 상관없어요",일상 대화
17,"이번에 전세계 각국에서 인기인 오징어게임이 아동들에게 미칠 악영향에 대한 우려가 제기되고 있다네 ...?
오징어게임 지금 완전 전세계적으로 흥행 열풍인데 왠 아동들에게 악영향을 미쳐 ?
우리야 뭐 성인이고 폭력적인 장면을 봐도 상관없는데 아동들에겐 악영향 이라고 하더라고
아니
오징어게임 자체가 우리나라에서도 18세 이상 관람 인데 아동들이 어떻게 봐 ?
요즘 워낙에 인터넷이 많이 발달하다 보니 미성년자들도 불법적인 플랫폼에서 보나 봐
솔직히 오징어게임보다 더 잔인하고 극악무도한 영화나 드라마가 얼마나 많은데
그렇지 ?
나도 솔직히 이건 부모님들의 문제라고 생각해
당연하지 ...
자기 자식들이 그런 거 못 보게 조치를 취하던가
그러니까 ...
괜히 아동이 오징어게임을 보고 악영향을 미친다는 소리가 웃겨 정말
괜히 오징어게임의 작품성을 무너뜨릴려고 하는 걸로 밖에 안 보인다.
뭐 오징어게임 말고도 다른 작품들이 흥행하면 그에 반하는 세력들이 질투해서 작품성을 깎아내리려 하잖아
정당한 넷플릭스를 이용해서 본다면 자녀 보호 기능 설정을 제대로 하면 되는 거고
그렇지
뭐 인터넷으로 불법적으로 본다면 그것도 부모가 막아야 하는 역할이자 책임인 거지
아무튼 난 개인적으로 이번에 나온 오징어게임이 전세계에 흥행을 했다는 건 정말 자랑스러워
나도 마찬가지임
우리나라 작품이 전세계에서 인기를 휩쓸고 있다는 게 대견해
이번에 제기된 문제는 전세계의 각 부모님들이 잘 대처해야 한다고 생각한다.",일상 대화
18,"바퀴달린 집 예능에서 공명이랑 이하늬 나오는 거 재밌더라 키키
공명이랑 이하늬는 어떻게 아는 사이죠?
모르겠어 키키
둘이 11살 차이라던데 극한 직업 영화로 알았나?
아 거기에 공명도 나왔나요
옹 공명 나왔지 않아?
공명 너무 귀엽던데 키키
아 그 혹시 그 막내 그 친구인가요
어! 맞아 맞아
키키 그 친구야 키키
공명 맞는 것 같네 키키
아하 그렇군요
그 야구 한
옹 맞아 키키
공명이 진짜 너무 귀여워 키키
맞습니다
그때 진짜 귀엽게 나왔죠
맞아 키키
진짜 너무 선해
사람이 키키 생긴 게 키키
그런 스타일 좋아하시나요
옹 그랬나 봐 키키
몰랐네 키키
김선호는 어떤가요?
비슷한 것 같은데
맞아
김선호도 좋아 키키
요즘 그 2명이 최애야
오호 근데 공명은 또 어디 나오나요?",일상 대화
19,"좋아하는 음식 있어 ?
짬뽕같은 국물 음식 좋아해 하하
맵고 짠거 많이 먹으면 안돼 키키 !
많이 안 먹을려고 해도 맵고 짠음식이 맛있어 하하
그건 그래... 하하 그러다가 배탈나잖아 ㅠㅠ
맵고 짠 음식 먹고 나면 ㅋ... 화장실을
몇 번이나 왓다 갓다하는지...ㅋ
키키 그러니까 속도 쓰리고 맛있긴한데 후폭풍이 무서워
키키 그래도 좋아하는 거 먹는 게 행복한 거라고 그랬어
키키 그래 스트레스 안 받는 게 최고지!
난 매운것도 좋아하는데 매운거 잘먹어?ㅋ
매운 거는 못 먹는데 좋아는 하는 편이야 하하
ㅎ 요새는 매운 음식 도전해서 먹는다는데 나는 그런 건 못하겟어 하하
아 그건 조금 미련한 것 같더라...
먹방하는 사람들 보면 또 신기해 ㅋ
매워 하면서도 다들 드시니깐 ㅋ
어떤 곳은 너무 매워서 위장약 먼저 먹고 도전하라고 한대 ㅋ... 너무 위험한 거 같은데...
와 근데 그러다가 사망한 사람도 있지 않나?
너무 위험한데 ㅠㅠ
응급실 가신분들은 많다고 하더라ㅠㅠ",일상 대화
20,"대중교통 자주 이용하는 편이야?
나 거의 버스나 택시? 차가 없어서 ㅠㅠ
나도 키키 아침마다 너무 힘들어
전쟁이지 전쟁 ㅠㅠ 조금이라도 늦잠 자면 답 없어 ㅠㅠ
바로 카택 부르고 후다닥 준비 키키
맞아 키키 그런 날은 하루종일 정신없더라 ㅠㅠ
맞아 회사 도착하면 몰골도 말이 아니더라고 키키
키키 최악이지 키키 나 혼자 어디서 전쟁 치루고 온 줄 알아 키키
아침부터 키키 요즘 잠이 많아져서 항상 아슬아슬하게 버스 타 ㅜㅜ
어휴 나는 그게 하루 중 제일 힘든 것 같아 ㅠㅠ 나도 아침 잠이 많아서 항상 아슬아슬해 키키
키키 일찍 자면 되는데 그건 또 싫고 키키
뭔가 퇴근하면 시간이 아까워서 조금만 조금만 하다 늦게자서 키키 다들 그러는구나 키키
난 요즘 자기 전에 넷플 틀어 놓고 자 키키
저녁에 누워서 넷플 보다 잠드는 구나? 키키
응 다들 그러길래 한번 해봤는데 키키 좋던데?
아 진짜? 나도 한번 그렇게 해봐야겠다 키키",일상 대화
21,"인테리어 어떻게 하는 거 좋아함? 키키
전 그닥 키키 미니멀이 최고죠
나도 키키 일단 깔끔해야 함
맞아 키키 진짜 그냥 지저분하게 이것저것 있는 거 극혐
그러니까 진짜 다 갖다 버리고 싶다 키키
키키 형 집도 엄청 깔끔하겠다
엄청 아무것도 없어 키키 언제든지 떠날 수 있다
오 그건 좀 대단한데? 키키 전 그 정돈 아니에요
키키 모든 건 다 쓰레기니라
키키 다 뭐 뭐 있어요? 집에? 있는 게 뭐야
침대 옷걸이 책상 키키
헐... 다른 가전제품은 없어요?
전자레인지 키키 선풍기 뭐 딱 필요한 것만
키키 아... 근데 원룸에 살면 그건 풀옵?
풀옵 풀옵 키키 몸만 오는 거지
오 그러면 진짜 언제든지 떠날 수 있지 키키",일상 대화
22,"군대 밥이 그렇게 맛없다는데 왠지 한번 먹어보고 싶다 ㅇㅅㅇ
나는 군대 식량 키키
요새 시중에 판매하는 것도 있긴 한데 그 맛 안 날 듯
친구 말로는 행군하고 나서 맛다시랑 참치캔이랑 계란후라이가 미친 조합이래
행군하면 타이어 뜯어먹어도 맛있지 않을까...?
키키 그런가 예전에 군대 간 친구가 제대할 때 맛다시 사다 줬는데
아 그거 완전 온갖 조미료맛 다 난다며 화학조미료 키키
음 그냥 고추장에 진짜 다시다 섞은 느낌...?
맛있드나 키키
나는 친구들 군대 갔다 온 지 다 한참 돼가
나도 옛날이지 키키
그놈의 군대 축구 얘기 ㅠ0ㅠ
군대에서 쉬는 날엔 할 게 책 읽거나 운동밖에 없대... 불쌍...
마졍 그래서 벌크업 하고 오는 애들도 엄청 많드만 키키 근육짱짱맨
어우 근데 군대에서 식중독 환자 엄청 많대
아 맞네 막 조류독감 걸리면 닭만 나오고 돼지 역병 걸리면 돼지고기만 나오고 ㅠ0ㅠ
군인들이 진짜 뭐 실험용도 아니고 군장병들 밥 잘 챙겨줘야 하는 거 아이가
그치... 볼 때마다 딱하누 ㅠ_ㅠ
아무리 기간 짧아지고 했어도 먹는 거 가지고 그러면 못쓰지
맞어... 괜히 다쳐서 제대하는 사람들도 한둘 아니고 처우 개선 해줘야 함",일상 대화
23,"요새 피부 때문에 피부과 다니는 중 키키
그래 소식 들었다 키키 개부럽쓰 키키 피부 많이 괜찮아짐?
키키 와 어제 레이저 하고 죽는 줄
ㄷㄷ 레이저 겁나 아프지? 으...
와 진짜 식은땀이 키키 이번에 역대급이었다
키키 그거 하고 나서도 다 재생될 때까지 조심해야 한다 아냐?
맞아 ㅜㅜ 그 뭐야 패치 붙이고 있음
키키 세수 할 때도 불편하겠다 키키
아직 세수 못해 ㅜㅜ 이제 오늘 저녁에 패치 때고 세수 한다 키키
나 점 빼러 가야 하는데... 세수 못하는 거 때문에... 미루는 중
아 그러니까 ㅜㅜ 그게 진짜 찝찝하다 더 시원해지면 가라
키키 아 정말... 어떤 아픔인지 알아서...
키키 그러니까 키키 10월쯤 가라
키키 그래야겠다 10월 초에 백신 맞거든 백신 맞고 가야 하나
아 오 일찍 맞네 키키 그래 맞고 가면 되겠다
키키 일주일 앞댕겼어 키키 빨리 맞고 치워야지
아 나도 그랬는데 키키 그래 빨리 맞고 해치워야지
맞아 키키 어차피 맞아야 할 거 키키
그러니까 키키 어휴 니도 걱정이네 2차
키키 안 아프길 간절히 바라는 중 키키",일상 대화
24,"학교 다닐 때가 젤 좋은 때였어 ^^
나도 그렇게 생각해 ^^ 돈 버는 건 뭣 같애
키키 그렇다면 다시 고딩 때로 간다면 공부 열심히 할 꺼니?
아니 더 열심히 놀 거야 키키
나두 나두 그리고 유튜버 할 꺼야
유투벜 키키 나도 유투버 할래
나 애 낳으면 공부하라는 말은 절대 안 할 꺼임...
좋은 생각이야 공부 다 필요 없어
키키 기본만 알면 그냥저냥 키키
산수만 잘하고 손해만 안 보면 인생 살어~
10년 전에 유튜브 시작했으면 큰돈 벌었을 껀디 키키
워 벌써 구독자수가 얼마겠냐 돈 ㅎㄷㄷ
키키 그때는 유튜버도 없었자네 그때 했었어야 했어...
아 긍게 우리 대학생 때 했었어도 대박이였다
키키 그때 학교에 낸 돈 그냥 비트코인만 샀어도 ^^
와 장난 ^_^ 그때 나는 전기차 주식 살 거야",일상 대화
